,,,,,,,GEOMETRY no.,,FROM PUBLIC HEALTH ENGLAND DATASET,TOTAL BOROUGHS,,,,
OBJECTID,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,,NAME_2,,,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2
170,242,GBR,United Kingdom,3,Scotland,170,,West Lothian,,,Unitary District,Unitary District,NA,Linlithgow
171,242,GBR,United Kingdom,4,Wales,171,,Anglesey,,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
172,242,GBR,United Kingdom,4,Wales,172,,Blaenau Gwent,,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
173,242,GBR,United Kingdom,4,Wales,173,,Bridgend,,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
174,242,GBR,United Kingdom,4,Wales,174,,Caerphilly,,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
175,242,GBR,United Kingdom,4,Wales,175,,Cardiff,,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
176,242,GBR,United Kingdom,4,Wales,176,,Carmarthenshire,,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
177,242,GBR,United Kingdom,4,Wales,177,,Ceredigion,,,Unitary Authority (wales),Unitary Authority (wales,NA,Cardiganshire
178,242,GBR,United Kingdom,4,Wales,178,,Conwy,,,Unitary Authority (wales),Unitary Authority (wales,NA,Aberconwy and Colwyn
179,242,GBR,United Kingdom,4,Wales,179,,Denbighshire,,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
180,242,GBR,United Kingdom,4,Wales,180,,Flintshire,,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
181,242,GBR,United Kingdom,4,Wales,181,,Gwynedd,,,Unitary Authority (wales),Unitary Authority (wales,NA,Caernarfonshire and Merionethshire
182,242,GBR,United Kingdom,4,Wales,182,,Merthyr Tydfil,,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
183,242,GBR,United Kingdom,4,Wales,183,,Monmouthshire,,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
184,242,GBR,United Kingdom,4,Wales,184,,Neath Port Talbot,,,Unitary Authority (wales),Unitary Authority (wales,NA,Neath and Port Talbot
185,242,GBR,United Kingdom,4,Wales,185,,Newport,,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
186,242,GBR,United Kingdom,4,Wales,186,,Pembrokeshire,,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
187,242,GBR,United Kingdom,4,Wales,187,,Powys,,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
188,242,GBR,United Kingdom,4,Wales,188,,"Rhondda, Cynon, Taff",,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
189,242,GBR,United Kingdom,4,Wales,189,,Swansea,,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
190,242,GBR,United Kingdom,4,Wales,190,,Torfaen,,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
191,242,GBR,United Kingdom,4,Wales,191,,Vale of Glamorgan,,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
192,242,GBR,United Kingdom,4,Wales,192,,Wrexham,,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
